Store_Name,Address,City_State_Zip,Phone_Number,State
Beaverton,2800 SW Hocken Ave,"Beaverton, OR  97005",(503) 627-0737,OR
Gresham,779 NW Council Drive,"Gresham, OR  97030",(503) 669-8818,OR
Lloyd Center,1270 NE Weidler St,"Portland, OR  97232",(503) 734-2950,OR
Pearl District,1400 NW Northrup Street,"Portland, OR  97209",(503) 928-8892,OR
Portland - SE 82nd,4140 SE 82nd Avenue,"Portland, OR  97266",(503) 345-0782,OR
Tanasbourne/Hillsboro,7410 NE Imbrie Dr,"Hillsboro, OR  97124",(503) 640-7872,OR
Tualatin,7405 SW Nyberg Street,"Tualatin, OR  97062",(503) 404-0126,OR
