Store_Name,Address,City_State_Zip,Phone_Number,State
Bristol (Esporta),1379 Farmington Ave,"Bristol, CT  06010",(860) 516-4200,CT
Farmington (Esporta),1600 Southeast Road,"Farmington, CT  06032",(860) 321-2062,CT
Milford,1201 Boston Post Road Space 2090,"Milford, CT  06460",(203) 701-4827,CT
Newington,3563 Berlin Turnpike,"Newington, CT  06111",(860) 838-4239,CT
"Norwalk, CT",761 Main Ave,"Norwalk, CT  06851",(203) 842-0012,CT
Stamford,52 Sixth Street,"Stamford, CT  06905",(203) 353-8810,CT
Stratford (Esporta),411 Barnum Ave Cut-Off,"Stratford, CT  06614",(203) 212-5491,CT
Trumbull,5065 Main Street,"Trumbull, CT  06611",(203) 683-1321,CT
