Store_Name,Address,City_State_Zip,Phone_Number,State
Bartlett - Stage Rd (Esporta),6050 Stage Road,"Bartlett, TN  38134",(901) 203-0391,TN
Collierville (Esporta),1088 W Poplar Ave,"Collierville, TN  38017",(901) 610-4176,TN
Cordova (Esporta),773 N Germantown Parkway,"Cordova, TN  38018",(901) 203-3362,TN
Lakeland - US Hwy 64 (Esporta),8864 US Highway 64,"Lakeland, TN  38002",(901) 291-1113,TN
Memphis - Oak Court (Esporta),4572 Poplar Ave,"Memphis, TN  38117",(901) 203-5361,TN
Memphis - Polo Grounds Blvd (Esporta),7630 Polo Grounds Blvd,"Memphis, TN  38125",(901) 291-1101,TN
Memphis Ridgeway Rd (Esporta),1285 Ridgeway Road,"Memphis, TN  38119",(901) 291-1114,TN
