Store_Number,Address,City_State_Zip,Phone_Number,Zip_Code_Found
Store Number: store_2682,"10180 Forest Hill Boulevard,","Wellington, FL 33414",(631) 987-9517,34235
Store Number: store_2702,2290 N Congress Ave,"Boynton Beach, FL 33426",(561) 208-8237,34235
Store Number: store_2580,"18445 Pembroke Pines Blvd,","Pembroke Pines, FL 33029",(954) 816-4424,34235
Store Number: store_2741,"1041 S University Dr,","Broward, FL 33324",(786) 420-9652,34235
Store Number: store_2688,"1000 E Hillsboro Blvd,","Deerfield, FL 33441",(954) 418-7977,34235
