Store_Number,Address,City_State_Zip,Phone_Number,Zip_Code_Found
Store Number: store_2738,"1600 E Ridge Rd,","Rochester, NY 14621",(585) 544-2888,14610
Store Number: store_2743,Status: Temporary Closed,100 Marketplace Dr,"Henrietta, NY 14623",14610
Store Number: store_2737,1867 W Ridge Rd,"Greece, NY 14615",(817) 995-2600,14610
Store Number: store_2754,"270 Sparta Ave, Ste 108","Sparta, NJ 07871",(973) 726-3484,14610
Store Number: store_2651,"4100 William Penn Hwy Suite 43,","Monroeville, PA 15146",(412) 445-1934,14610
