Store_Number,Address,City_State_Zip,Phone_Number,Zip_Code_Found
Store Number: store_2655,Status: Temporary Closed,"701 E Cathedral Rd,","Philadelphia, PA 19128",19426
Store Number: store_2533,"2100 Route 38,","Cherry Hill, NJ 08002",(856) 755-0049,19426
Store Number: store_2683,"536 Milltown Road,","North Brunswick, NJ 08902",(845) 344-7143,19426
Store Number: store_2705,"200 New World Way,","South Plainfield, NJ 07080",(908) 755-7722,19426
Store Number: store_2754,"270 Sparta Ave, Ste 108","Sparta, NJ 07871",(973) 726-3484,19426
