Store_Number,Address,City_State_Zip,Phone_Number,Zip_Code_Found
Store Number: store_2737,1867 W Ridge Rd,"Greece, NY 14615",(817) 995-2600,14615
Store Number: store_2738,"1600 E Ridge Rd,","Rochester, NY 14621",(585) 544-2888,14615
Store Number: store_2743,Status: Temporary Closed,100 Marketplace Dr,"Henrietta, NY 14623",14615
Store Number: store_2754,"270 Sparta Ave, Ste 108","Sparta, NJ 07871",(973) 726-3484,14615
Store Number: store_2749,Status: Temporary Closed,8700 Duncan Avenue,"Pittsburgh, PA 15237",14615
