Store_Number,Address,City_State_Zip,Phone_Number,Zip_Code_Found
Store Number: store_2708,"95 Foster Drive,","McDonough, GA 30253",(678) 271-2130,32219
Store Number: store_2703,"1618 Highway 138 SE,","CONYERS, GA 30013",(202) 327-1088,32219
Store Number: store_2530,"3755 Carmia Drive SW,","Atlanta, GA 30331",(404) 349-7575,32219
Store Number: store_2526,"75 5th St NW, Ste E","Atlanta, GA 30308",(470) 440-5180,32219
Store Number: store_2682,"10180 Forest Hill Boulevard,","Wellington, FL 33414",(631) 987-9517,32219
