Store_Number,Address,City_State_Zip,Phone_Number,Zip_Code_Found
Store Number: store_2576,"8909 Washington Blvd,","Pico Rivera, CA 90660",(626) 497-3863,90804
Store Number: store_2569,"2880 Michelle,","Irvine, CA 92606",(714) 368-3370,90804
Store Number: store_2577,"920 S Fremont Ave,","Alhambra, CA 91803",(626) 497-3863,90804
Store Number: store_2517,"6400 Irvine Blvd,","Irvine, CA 92620",(949) 679-9755,90804
Store Number: store_2746,"355 N Rosemead Blvd,","Pasadena, CA 91107",(626) 232-4812,90804
