Store_Number,Address,City_State_Zip,Phone_Number,Zip_Code_Found
Store Number: store_2655,Status: Temporary Closed,"701 E Cathedral Rd,","Philadelphia, PA 19128",19401
Store Number: store_2533,"2100 Route 38,","Cherry Hill, NJ 08002",(856) 755-0049,19401
Store Number: store_2683,"536 Milltown Road,","North Brunswick, NJ 08902",(845) 344-7143,19401
Store Number: store_2705,"200 New World Way,","South Plainfield, NJ 07080",(908) 755-7722,19401
Store Number: store_2603,"145 E Service Rd,","Staten Island, NY 10314",(347) 825-2813,19401
