Store_Number,Address,City_State_Zip,Phone_Number,Zip_Code_Found
Store Number: store_2741,"1041 S University Dr,","Broward, FL 33324",(786) 420-9652,33319
Store Number: store_2748,"1000 N Federal Hwy,","Pompano Beach, FL 33062",MORE DETAILS,33319
Store Number: store_2671,"5591 Sheridan Street,","Hollywood, FL 33021",(954) 964-2011,33319
Store Number: store_2688,"1000 E Hillsboro Blvd,","Deerfield, FL 33441",(954) 418-7977,33319
Store Number: store_2580,"18445 Pembroke Pines Blvd,","Pembroke Pines, FL 33029",(954) 816-4424,33319
