Store_Number,Address,City_State_Zip,Phone_Number,Zip_Code_Found
Store Number: store_2718,"455 Park Avenue,","Lindenhurst, NY 11757",(631) 226-6900,11735
Store Number: store_2734,"711 Stewart Ave,","Garden City, NY 11530",(718) 267-2800,11735
Store Number: store_2535,"1111 Marcus Avenue Ste S100,","New Hyde Park, NY 11042",(516) 327-2426,11735
Store Number: store_2731,"122 E Main St,","Smithtown, NY 11787",(718) 267-2800,11735
Store Number: store_2604,"110 New Moriches Rd,","Lake Grove, NY 11755",(631) 738-1500,11735
