Store_Number,Address,City_State_Zip,Phone_Number,Zip_Code_Found
Store Number: store_2701,"10055 NW 41st Street,","Miami, FL 33178",(786) 325-0110,33178
Store Number: store_2693,"14100 SW 8th St,","Miami, FL 33184",(305) 551-9633,33178
Store Number: store_2742,"9291 W Flagler St,","Miami, FL 33174",(305) 554-1166,33178
Store Number: store_2717,"630 W 49th St,","Hialeah, FL 33012",(954) 536-0768,33178
Store Number: store_2580,"18445 Pembroke Pines Blvd,","Pembroke Pines, FL 33029",(954) 816-4424,33178
