Store_Number,Address,City_State_Zip,Phone_Number,Zip_Code_Found
Store Number: store_2545,"5550 N MacArthur Blvd,","Irving, TX 75038",(972) 753-4808,7731
Store Number: store_2638,"150 E Highway 67,","Duncanville, TX 75137",(972) 283-6833,7731
Store Number: store_2568,"201 S El Camino Real,","Encinitas, CA 92024",(760) 505-5466,7731
Store Number: store_2573,16289 Sierra Lakes Pkwy,"Fontana, CA 92336",(909) 357-4964,7731
Store Number: store_2517,"6400 Irvine Blvd,","Irvine, CA 92620",(949) 679-9755,7731
