Store_Number,Address,City_State_Zip,Phone_Number,Zip_Code_Found
Store Number: store_2545,"5550 N MacArthur Blvd,","Irving, TX 75038",(972) 753-4808,76205
Store Number: store_2638,"150 E Highway 67,","Duncanville, TX 75137",(972) 283-6833,76205
Store Number: store_2663,3838 Richmond Ave,"Houston, TX 77027",(832) 528-8562,76205
Store Number: store_2530,"3755 Carmia Drive SW,","Atlanta, GA 30331",(404) 349-7575,76205
Store Number: store_2526,"75 5th St NW, Ste E","Atlanta, GA 30308",(470) 440-5180,76205
