Store_Number,Address,City_State_Zip,Phone_Number,Zip_Code_Found
Store Number: store_2568,"201 S El Camino Real,","Encinitas, CA 92024",(760) 505-5466,8083
Store Number: store_2514,"3400 Cahuenga Blvd W,","Los Angeles, CA 90068",(323) 876-5966,8083
Store Number: store_2569,"2880 Michelle,","Irvine, CA 92606",(714) 368-3370,8083
Store Number: store_2517,"6400 Irvine Blvd,","Irvine, CA 92620",(949) 679-9755,8083
Store Number: store_2576,"8909 Washington Blvd,","Pico Rivera, CA 90660",(626) 497-3863,8083
