Store_Number,Address,City_State_Zip,Phone_Number,Zip_Code_Found
Store Number: store_2671,"5591 Sheridan Street,","Hollywood, FL 33021",(954) 964-2011,33021
Store Number: store_2681,"1580 NE Miami Gardens Drive,","N. Miami Beach, FL 33179",(786) 274-8712,33021
Store Number: store_2741,"1041 S University Dr,","Broward, FL 33324",(786) 420-9652,33021
Store Number: store_2717,"630 W 49th St,","Hialeah, FL 33012",(954) 536-0768,33021
Store Number: store_2580,"18445 Pembroke Pines Blvd,","Pembroke Pines, FL 33029",(954) 816-4424,33021
