Store_Number,Address,City_State_Zip,Phone_Number,Zip_Code_Found
Store Number: store_2678,"3900 Bethel Drive,","St. Paul, MN 55112",(651) 638-6251,60714
Store Number: store_2749,Status: Temporary Closed,8700 Duncan Avenue,"Pittsburgh, PA 15237",60714
Store Number: store_2652,"1155 Washington Pike,","Bridgeville, PA 15017",(412) 914-0242,60714
Store Number: store_2739,"6425 Penn Ave,","Pittsburgh, PA 15206",(724) 431-9972,60714
Store Number: store_2651,"4100 William Penn Hwy Suite 43,","Monroeville, PA 15146",(412) 445-1934,60714
