Store_Number,Address,City_State_Zip,Phone_Number,Zip_Code_Found
Store Number: store_2717,"630 W 49th St,","Hialeah, FL 33012",(954) 536-0768,33147
Store Number: store_2661,"900 S Miami Ave, Ste 236","Miami, FL 33130",(786) 325-0110,33147
Store Number: store_2753,3301 Coral Way,"Miami, FL 33145",(954) 397-6885,33147
Store Number: store_2681,"1580 NE Miami Gardens Drive,","N. Miami Beach, FL 33179",(786) 274-8712,33147
Store Number: store_2701,"10055 NW 41st Street,","Miami, FL 33178",(786) 325-0110,33147
