Store_Number,Address,City_State_Zip,Phone_Number,Zip_Code_Found
Store Number: store_2535,"1111 Marcus Avenue Ste S100,","New Hyde Park, NY 11042",(516) 327-2426,11414
Store Number: store_2734,"711 Stewart Ave,","Garden City, NY 11530",(718) 267-2800,11414
Store Number: store_2740,1776 Eastchester Rd,"Bronx, NY 10461",(718) 828-1871,11414
Store Number: store_2695,"485 Harmon Meadow Blvd,","Secaucus, NJ 07094",(917) 747-8290,11414
Store Number: store_2603,"145 E Service Rd,","Staten Island, NY 10314",(347) 825-2813,11414
