Store_Number,Address,City_State_Zip,Phone_Number,Zip_Code_Found
Store Number: store_2655,Status: Temporary Closed,"701 E Cathedral Rd,","Philadelphia, PA 19128",22312
Store Number: store_2533,"2100 Route 38,","Cherry Hill, NJ 08002",(856) 755-0049,22312
Store Number: store_2750,"1983 H St, Bldg W313","Norfolk, VA 23511",(757) 226-6958,22312
Store Number: store_2751,"1611 Midway Rd, JEB Little Creek-Fort Story","Virginia Beach, VA 23459",(757) 578-5967,22312
Store Number: store_2651,"4100 William Penn Hwy Suite 43,","Monroeville, PA 15146",(412) 445-1934,22312
