Store_Number,Address,City_State_Zip,Phone_Number,Zip_Code_Found
Store Number: store_2659,"1416 NW 46th Street,","Seattle, WA 98107",(206) 706-0400,98166
Store Number: store_2752,"19800 Highway 99,","Lynwood, WA 98036",() -,98166
Store Number: store_2566,"15024 Main Street,","Mill Creek, WA 98012",(425) 337-1025,98166
Store Number: store_2514,"3400 Cahuenga Blvd W,","Los Angeles, CA 90068",(323) 876-5966,98166
Store Number: store_2746,"355 N Rosemead Blvd,","Pasadena, CA 91107",(626) 232-4812,98166
