Store_Number,Address,City_State_Zip,Phone_Number,Zip_Code_Found
Store Number: store_2663,3838 Richmond Ave,"Houston, TX 77027",(832) 528-8562,8817
Store Number: store_2530,"3755 Carmia Drive SW,","Atlanta, GA 30331",(404) 349-7575,8817
Store Number: store_2708,"95 Foster Drive,","McDonough, GA 30253",(678) 271-2130,8817
Store Number: store_2526,"75 5th St NW, Ste E","Atlanta, GA 30308",(470) 440-5180,8817
Store Number: store_2528,"3232 Peachtree Rd NE, Ste A","Atlanta, GA 30305",(404) 581-5954,8817
