Store_Number,Address,City_State_Zip,Phone_Number,Zip_Code_Found
Store Number: store_2580,"18445 Pembroke Pines Blvd,","Pembroke Pines, FL 33029",(954) 816-4424,34103
Store Number: store_2654,"16339 SW 88th Street,","Miami, FL 33196",(786) 245-9105,34103
Store Number: store_2693,"14100 SW 8th St,","Miami, FL 33184",(305) 551-9633,34103
Store Number: store_2701,"10055 NW 41st Street,","Miami, FL 33178",(786) 325-0110,34103
Store Number: store_2680,"8555 SW 124th Avenue,","Miami, FL 33183",(305) 274-1006,34103
