Store_Number,Address,City_State_Zip,Phone_Number,Zip_Code_Found
Store Number: store_2603,"145 E Service Rd,","Staten Island, NY 10314",(347) 825-2813,10314
Store Number: store_2705,"200 New World Way,","South Plainfield, NJ 07080",(908) 755-7722,10314
Store Number: store_2695,"485 Harmon Meadow Blvd,","Secaucus, NJ 07094",(917) 747-8290,10314
Store Number: store_2683,"536 Milltown Road,","North Brunswick, NJ 08902",(845) 344-7143,10314
Store Number: store_2694,"852 State Rt 3,","Clifton, NJ 07012",(973) 470-8444,10314
