Store_Number,Address,City_State_Zip,Phone_Number,Zip_Code_Found
Store Number: store_2712,"1275 Foothill Blvd,","La Verne, CA 91750",(714) 204-8179,91740
Store Number: store_2746,"355 N Rosemead Blvd,","Pasadena, CA 91107",(626) 232-4812,91740
Store Number: store_2576,"8909 Washington Blvd,","Pico Rivera, CA 90660",(626) 497-3863,91740
Store Number: store_2577,"920 S Fremont Ave,","Alhambra, CA 91803",(626) 497-3863,91740
Store Number: store_2573,16289 Sierra Lakes Pkwy,"Fontana, CA 92336",(909) 357-4964,91740
