Store_Number,Address,City_State_Zip,Phone_Number,Zip_Code_Found
Store Number: store_2528,"3232 Peachtree Rd NE, Ste A","Atlanta, GA 30305",(404) 581-5954,7470
Store Number: store_2678,"3900 Bethel Drive,","St. Paul, MN 55112",(651) 638-6251,7470
Store Number: store_2526,"75 5th St NW, Ste E","Atlanta, GA 30308",(470) 440-5180,7470
Store Number: store_2530,"3755 Carmia Drive SW,","Atlanta, GA 30331",(404) 349-7575,7470
Store Number: store_2703,"1618 Highway 138 SE,","CONYERS, GA 30013",(202) 327-1088,7470
