Store_Number,Address,City_State_Zip,Phone_Number,Zip_Code_Found
Store Number: store_2517,"6400 Irvine Blvd,","Irvine, CA 92620",(949) 679-9755,92881
Store Number: store_2569,"2880 Michelle,","Irvine, CA 92606",(714) 368-3370,92881
Store Number: store_2573,16289 Sierra Lakes Pkwy,"Fontana, CA 92336",(909) 357-4964,92881
Store Number: store_2712,"1275 Foothill Blvd,","La Verne, CA 91750",(714) 204-8179,92881
Store Number: store_2576,"8909 Washington Blvd,","Pico Rivera, CA 90660",(626) 497-3863,92881
